GDSC_Cell.line.name	LabCellLineID	GDSC_tissue_unified	MT.ND6	MT.CO2	MT.CYB	MT.ND2	MT.ND5	MT.CO1	MT.ND3	MT.ND4	MT.ND1	MT.ATP6	MT.CO3	MT.ND4L	MT.ATP8	MT.RNR1	MT.RNR2	mut_high	mut_high_mod	mut_trns	mut_rnrs	mut_atp6s	mut_atp8s	mut_cox1s	mut_cox2s	mut_cox3s	mut_cytbs	mut_nd1s	mut_nd2s	mut_nd3s	mut_nd4s	mut_nd4Ls	mut_nd5s	mut_nd6s	mut_atp6_atp8s	mut_cox1_2_3s	mut_ndxs	mut_chrs	CPI-613 Drug Response
22RV1	2	PROSTATE	11.7852072300288	14.5833766373104	12.8755381911372	12.9491336422441	11.5428384165361	14.5517082616207	13.095940898055	13.3247431104944	12.2217683529767	13.7833052197478	14.1538686552232	13.8745971924016	15.597907059863	905.969	5516.91	0.153846153846154	1	0.998937752283833	0.999764484220443	0.998546511627907	0.125	1	0	0.999317871759891	0.999110913536341	0.181818181818182	0.999318026824278	0.155875299760192	0.153846153846154	0	1	0.1	0.998546511627907	1	1	0.999773294037633	0.474863387978142
42-MG-BA	3	CENTRAL_NERVOUS_SYSTEM	11.6430895543787	13.9885959355777	11.8703261855474	12.101351987346	10.6940095784219	12.2379269466263	11.9345754725457	12.6728893696037	10.7948219733312	13.4421659722293	12.8169036490299	12.7970737915994	15.3673464919182	851.045	2471.02	0	0.416666666666667	0.0571428571428571	0.725	0	0	0.329341317365269	0.166666666666667	0	0.0377358490566038	0.204379562043796	0.416666666666667	0.407407407407407	0.0606060606060606	0	0.152777777777778	0	0	0.329341317365269	0.416666666666667	1	0.885245901639344
5637	4	BLADDER	11.1398710632125	13.7766386470736	11.5645782325921	12.077316445881	10.7613850137634	13.3473445394315	12.7699617811787	12.4500255539136	11.6432248725836	13.0895828931247	13.6195322275721	12.9461386793115	14.6558102014775	301.617	1637.7	0.08	1	0.159709618874773	0.999786780383795	1	0	0.999556048834628	0	0.999694189602446	0.999785084891468	0.148351648351648	0.24824355971897	1	0.125	0	0.153846153846154	0.00418082048602038	1	0.999694189602446	1	1	0.946994535519126
639-V	5	BLADDER	11.273154517968	13.845097960973	11.1983222536706	12.3645997889661	10.7687632719734	13.4843194236443	12.5112832074359	12.9413411054853	11.6705677375051	13.1379037187719	13.4174569850573	13.2102451683859	14.9093774756144	630.121	1816.92	0	1	0	1	0	0	0.315789473684211	0	0	1	0.0833333333333333	0	1	0	0	1	0	0	0.315789473684211	1	1	0.636612021857924
769-P	7	KIDNEY	11.9015834501941	14.1217763203544	12.4910012540704	12.3011246131498	10.9607259948391	13.8171835394257	12.2905948880826	13.510887765694	12.3081683542269	13.7821791938312	13.9542872031285	13.6076770737659	15.7319818819629	1639.59	6566.3	0.0360065466448445	1	0.999575010624734	0.999760651029201	0.9975	0.0909090909090909	0.189111747851003	0.136363636363636	0.147651006711409	0.99936974789916	1	0.999364675984752	0.131578947368421	0.08	0	0.0952380952380952	0	0.9975	0.189111747851003	1	1	0.512568306010929
786-0	8	KIDNEY	11.652352042669	14.0768990839315	11.9800324428415	12.283522485644	11.0067468324406	13.603742238069	12.6626906254237	13.2069227757097	11.6690179045901	13.4786432391121	13.6860627498954	13.6964242405789	15.2142432194439	397.278	1562.09	0.111111111111111	1	0.13728323699422	0.999757986447241	0.989010989010989	0.375	0.834249285557265	0.166666666666667	0.18013856812933	1	0.112176814011676	0.16243654822335	0.117287917737789	0	0	0.97211733952948	0.181818181818182	0.989010989010989	0.834249285557265	0.97211733952948	1	0.494535519125683
8-MG-BA	11	CENTRAL_NERVOUS_SYSTEM	10.5416774494341	14.2125723785064	11.6324499952567	12.159272191279	10.4132047892526	13.3797844740524	12.6621120163109	12.3172712769986	10.3874788658424	13.1916298856158	13.3022105065488	12.5737891780491	15.7213128421753	968.228	3292.26	0.0227272727272727	1	0.0952380952380952	1	0	0.27027027027027	0.290322580645161	0.142857142857143	0	1	1	1	0.238095238095238	0.0384615384615385	0	0.0655737704918033	0.0625	0.27027027027027	0.290322580645161	1	1	0.443715846994535
8305C	9	THYROID	10.8312280596839	13.5128638913907	11.8389281377123	11.618798428381	10.1430004854982	12.9017908328345	11.8752117917148	12.4184324292183	11.3688883650131	12.7697138954322	12.7371416936527	12.5252271506402	13.7774608126698	567.07	968.893	0.0185185185185185	1	0.999561211057481	1	0.998892580287929	0.99913959991396	0.997655583972719	0	0.227979274611399	0.999372122226873	0.998627316403569	0.998722208024534	1	0	0	0.00716757291151755	0.118335500650195	0.99913959991396	0.997655583972719	1	1	0.901092896174863
8505C	10	THYROID	11.6077001881372	13.2765751770451	11.7970535206298	11.3622726181026	10.8457252537883	13.0749275039936	11.4725893089256	12.6676881499419	10.1936485572086	13.1206590879843	12.9444558519607	12.8182626083045	14.45056690774	586.07	876.448	0.0526315789473684	1	1	1	0	1	0.416666666666667	1	0	1	1	1	1	0.0526315789473684	0	0.125	0	1	1	1	1	0.327868852459016
A172	12	CENTRAL_NERVOUS_SYSTEM	11.7743340876569	14.0263505300678	12.2288487463295	11.9305525543361	11.1085897947479	13.5064315612526	12.2491430887084	12.6768386064742	10.7936033092794	13.3661855889281	13.6437434748217	13.0404095981117	15.7673309880189	1089.94	5882.57	1	1	1	1	0.0517241379310345	0	1	1	0.0857142857142857	1	0.234285714285714	0.0952380952380952	0.253968253968254	0.0184049079754601	0	0	0.0148148148148148	0.0517241379310345	1	0.253968253968254	1	0.405464480874317
A204	13	SOFT_TISSUE	11.4922537893029	13.1878623703375	11.8390069003394	12.0439842045835	10.4825054732282	13.134939643493	12.9739125707968	12.7188753149602	12.3240680075149	13.0337327072088	13.3652288492515	12.8763442732616	15.4566431819224	770.055	2009.8	0.0416666666666667	1	1	1	0.987854251012146	0.0625	0.163865546218487	0.105263157894737	0.174468085106383	0.999572009415793	0.997863247863248	1	0.105295007564297	0.0253273234599699	0	0.0350877192982456	0.0317460317460317	0.987854251012146	0.174468085106383	1	1	0.691256830601093
A2058	14	SKIN	11.2373892406311	14.0202855008446	12.2028890575199	12.4645712754981	10.7253662578956	13.3472061049411	12.7122260493477	12.6972282306968	11.4836646490583	13.5847276679639	13.68420071299	13.0215178985819	15.8147827150621	1275.55	2073.7	0.57263553156536	1	0.311111111111111	0.999738493723849	0.996913580246914	0.0833333333333333	0.147471597237692	0.00725952813067151	0.366666666666667	1	0.428571428571429	0.262531328320802	0.132433920704846	0.999791013584117	0	0.57263553156536	0.0284948855333658	0.996913580246914	0.366666666666667	0.999791013584117	0.999706400469759	0.53224043715847
A253	15	HEAD_AND_NECK	11.0321146218971	14.0390904019986	12.4844453077716	12.0570440508548	10.2527836812959	13.0345410698239	12.3426858499786	13.0998737655825	10.7352175220233	13.7243006732096	13.7254727730894	13.1841314939406	15.7269099590368	1044.44	3289.05	0.0891089108910891	1	1	1	0	0	0.24390243902439	0.016260162601626	0.0891089108910891	1	1	0.994082840236686	0.273504273504274	0.0206896551724138	0	0.024390243902439	0	0	0.24390243902439	1	1	0.087431693989071
A2780	16	OVARY	12.2678400727607	14.1540269409265	12.4343676016689	12.7516068199792	11.5424998976278	13.6916344842892	12.7892890996624	13.5261324056284	12.921543443509	13.7108064336994	13.8771882574613	14.0848083878044	16.0791514054219	899.388	3656.61	0.0563380281690141	1	0.129146083274524	1	0.999556933983163	0	0.194274028629857	0.0125178826895565	0.211087420042644	1	0.998729351969504	0.248882265275708	0.999372122226873	0.166666666666667	0	0.998771196854264	0.111111111111111	0.999556933983163	0.211087420042644	0.999372122226873	1	0.985792349726776
