LabCellLineID	GDSC_Cell.line.name	mut_high	mut_high_mod	mut_trns	mut_rnrs	mut_atp6s	mut_atp8s	mut_cox1s	mut_cox2s	mut_cox3s	mut_cytbs	mut_nd1s	mut_nd2s	mut_nd3s	mut_nd4s	mut_nd4Ls	mut_nd5s	mut_nd6s	mut_atp6_atp8s	mut_cox1_2_3s	mut_ndxs	mut_chrs
2	22RV1	0.153846154	0.999317872	0.20799458	0.162942008	0	0.125	0.235209235	0	0.999317872	0.052919183	0.181818182	0.234915527	0.1558753	0.153846154	0	0	0.1	0.125	0.999317872	0.234915527	0
3	42-MG-BA	0	0.416666667	0.057142857	0.725	0	0	0.329341317	0.166666667	0	0.037735849	0.204379562	0.416666667	0.407407407	0.060606061	0	0.152777778	0	0	0.329341317	0.416666667	0.144444444
4	5637	0.08	0.254385965	0.159709619	0.140628931	0.120056497	0	0.254385965	0	0.181818182	0.08	0.148351648	0.24824356	0.218994778	0.125	0	0.153846154	0.00418082	0.120056497	0.254385965	0.24824356	0
5	639-V	0	0.315789474	0	0	0	0	0.315789474	0	0	0	0.083333333	0	0	0	0	0	0	0	0.315789474	0.083333333	0
7	769-P	0.036006547	0.189111748	0.133578431	0.190547798	0.153846154	0	0.189111748	0.136363636	0.147651007	0.074074074	0.166666667	0.185622318	0.131578947	0.08	0	0.095238095	0	0.153846154	0.189111748	0.185622318	0.16
8	786-0	0.111111111	0.97211734	0.137283237	0.249587232	0.092447917	0.117647059	0.834249286	0.166666667	0.180138568	0.128205128	0.112176814	0.162436548	0.117287918	0	0	0.97211734	0.181818182	0.117647059	0.834249286	0.97211734	0.115384615
9	8305C	0.018518519	0.997655584	0.957016729	0.146190987	0.082417582	0	0.997655584	0	0.227979275	0	0.11882716	0.135464733	0.097053171	0	0	0.007167573	0.118335501	0.082417582	0.997655584	0.135464733	0
10	8505C	0.052631579	1	1	0	0	0.307692308	0.416666667	1	0	0.08	0.257142857	0	0.5	0.052631579	0	0.125	0	0.307692308	1	0.5	0.133333333
11	8-MG-BA	0.022727273	0.290322581	0.095238095	0.656716418	0	0.27027027	0.290322581	0.142857143	0	0.056603774	0.189873418	0.072727273	0.238095238	0.038461538	0	0.06557377	0.0625	0.27027027	0.290322581	0.238095238	0.5
12	A172	0.28440367	1	0.1	0.513157895	0.051724138	0	0.250883392	1	0.085714286	0.027777778	0.234285714	0	0.253968254	0.018404908	0	0	0.014814815	0.051724138	1	0.253968254	0.132352941
13	A204	0.041666667	0.202046036	0.113378685	0.189963216	0.085635359	0.0625	0.163865546	0.105263158	0.174468085	0.05	0.099606815	0.202046036	0.105295008	0.025327323	0	0.035087719	0.031746032	0.085635359	0.174468085	0.202046036	0.027777778
14	A2058	0.572635532	0.999791014	0.311111111	0.172085065	0.014675052	0.083333333	0.147471597	0.007259528	0.366666667	0.058823529	0.428571429	0.262531328	0.132433921	0.999791014	0	0.572635532	0.028494886	0.083333333	0.366666667	0.999791014	0.131578947
15	A253	0.089108911	0.273504274	0.020618557	0.571428571	0	0	0.243902439	0.016260163	0.089108911	0	0.153846154	0	0.273504274	0.020689655	0	0.024390244	0	0	0.243902439	0.273504274	0
16	A2780	0.056338028	0.248882265	0.129146083	0.207962284	0	0	0.194274029	0.012517883	0.21108742	0.019607843	0.107047279	0.248882265	0.152094718	0.166666667	0	0.057830783	0.111111111	0	0.21108742	0.248882265	0.037735849
17	A375	0.074074074	0.272727273	0.105067064	0.285461385	0.06299953	0.04016717	0.179954442	0	0.173913043	0.031749765	0.108212901	0.272727273	0.139057994	0	0	0.225806452	0	0.06299953	0.179954442	0.272727273	0.105263158
18	A549	0.042748702	0.966171617	0.097688618	0.195162835	0.068414038	0.3	0.383017997	0.555555556	0.140306122	0.0645373	0.115070846	0.966171617	0.151147099	0.176470588	0	0.277789321	0.010810811	0.3	0.555555556	0.966171617	0.061186068
